iter	Passed	Remaining
0	0	67
1	1	60
2	1	55
3	2	50
4	2	49
5	3	48
6	3	47
7	4	46
8	4	46
9	5	46
10	5	46
11	6	45
12	6	45
13	7	44
14	7	43
15	8	43
16	8	42
17	9	42
18	10	43
19	11	44
20	11	44
21	12	44
22	13	44
23	13	44
24	14	43
25	15	43
26	15	42
27	16	42
28	17	42
29	18	42
30	18	42
31	19	41
32	20	41
33	20	40
34	21	39
35	21	39
36	22	38
37	23	38
38	24	37
39	24	37
40	25	36
41	25	35
42	26	34
43	26	34
44	27	33
45	28	33
46	28	32
47	29	31
48	30	31
49	30	30
50	31	29
51	31	29
52	32	28
53	32	27
54	33	27
55	33	26
56	34	25
57	34	25
58	35	24
59	36	24
60	36	23
61	37	23
62	38	22
63	38	21
64	39	21
65	40	20
66	40	19
67	41	19
68	41	18
69	42	18
70	43	17
71	43	16
72	44	16
73	44	15
74	45	15
75	45	14
76	46	13
77	47	13
78	47	12
79	48	12
80	48	11
81	49	10
82	49	10
83	50	9
84	51	9
85	51	8
86	52	7
87	53	7
88	53	6
89	54	6
90	54	5
91	55	4
92	56	4
93	56	3
94	57	3
95	57	2
96	58	1
97	58	1
98	59	0
99	60	0
